Sex,Year,Age,People,Dif
1,1900,0,4619544,5115836
1,1900,5,4465783,6086363
1,1900,10,4057669,6505564
1,1900,15,3774846,6462573
1,1900,20,3694038,6037277
1,1900,25,3389280,6270213
1,1900,30,2918964,7286915
1,1900,35,2633883,8841299
1,1900,40,2261070,9059182
1,1900,45,1868413,8056593
1,1900,50,1571038,6936896
1,1900,55,1161908,5297174
1,1900,60,916571,4206828
1,1900,65,672663,3780960
1,1900,70,454747,3337398
1,1900,75,268211,2644444
1,1900,80,127435,1775203
1,1900,85,44008,926349
1,1900,90,15164,321139
2,1900,0,4589196,4721518
2,1900,5,4390483,5679081
2,1900,10,4001749,6020775
2,1900,15,3801743,5890926
2,1900,20,3751061,5573183
2,1900,25,3236056,6282451
2,1900,30,2665174,7454122
2,1900,35,2347737,9287910
2,1900,40,2004987,9483591
2,1900,45,1648025,8613228
2,1900,50,1411981,7499152
2,1900,55,1064632,5856636
2,1900,60,887508,4781453
2,1900,65,640212,4164572
2,1900,70,440007,4744848
2,1900,75,265879,4089765
2,1900,80,132449,3089449
2,1900,85,48614,1932542
2,1900,90,20093,1044488
