Sex,Year,Age,People,Dif,Num
1,1900,0,4619544,Male 2000,1
1,1900,0,5115836,Male 1900,2
2,1900,0,4589196,Female 2000,39
2,1900,0,4721518,Female 1900,40
1,1900,5,4465783,Male 2000,3
1,1900,5,6086363,Male 1900,4
2,1900,5,4390483,Female 2000,41
2,1900,5,5679081,Female 1900,42
1,1900,10,4057669,Male 2000,5
1,1900,10,6505564,Male 1900,6
2,1900,10,4001749,Female 2000,43
2,1900,10,6020775,Female 1900,44
1,1900,15,3774846,Male 2000,7
1,1900,15,6462573,Male 1900,8
2,1900,15,3801743,Female 2000,45
2,1900,15,5890926,Female 1900,46
1,1900,20,3694038,Male 2000,9
1,1900,20,6037277,Male 1900,10
2,1900,20,3751061,Female 2000,47
2,1900,20,5573183,Female 1900,48
1,1900,25,3389280,Male 2000,11
1,1900,25,6270213,Male 1900,12
2,1900,25,3236056,Female 2000,49
2,1900,25,6282451,Female 1900,50
1,1900,30,2918964,Male 2000,13
1,1900,30,7286915,Male 1900,14
2,1900,30,2665174,Female 2000,51
2,1900,30,7454122,Female 1900,52
1,1900,35,2633883,Male 2000,15
1,1900,35,8841299,Male 1900,16
2,1900,35,2347737,Female 2000,53
2,1900,35,9287910,Female 1900,54
1,1900,40,2261070,Male 2000,17
1,1900,40,9059182,Male 1900,18
2,1900,40,2004987,Female 2000,55
2,1900,40,9483591,Female 1900,56
1,1900,45,1868413,Male 2000,19
1,1900,45,8056593,Male 1900,20
2,1900,45,1648025,Female 2000,57
2,1900,45,8613228,Female 1900,58
1,1900,50,1571038,Male 2000,21
1,1900,50,6936896,Male 1900,22
2,1900,50,1411981,Female 2000,59
2,1900,50,7499152,Female 1900,60
1,1900,55,1161908,Male 2000,23
1,1900,55,5297174,Male 1900,24
2,1900,55,1064632,Female 2000,61
2,1900,55,5856636,Female 1900,62
1,1900,60,916571,Male 2000,25
1,1900,60,4206828,Male 1900,26
2,1900,60,887508,Female 2000,63
2,1900,60,4781453,Female 1900,64
1,1900,65,672663,Male 2000,27
1,1900,65,3780960,Male 1900,28
2,1900,65,640212,Female 2000,65
2,1900,65,4164572,Female 1900,66
1,1900,70,454747,Male 2000,29
1,1900,70,3337398,Male 1900,30
2,1900,70,440007,Female 2000,67
2,1900,70,4744848,Female 1900,68
1,1900,75,268211,Male 2000,31
1,1900,75,2644444,Male 1900,32
2,1900,75,265879,Female 2000,69
2,1900,75,4089765,Female 1900,70
1,1900,80,127435,Male 2000,33
1,1900,80,1775203,Male 1900,34
2,1900,80,132449,Female 2000,71
2,1900,80,3089449,Female 1900,72
1,1900,85,44008,Male 2000,35
1,1900,85,926349,Male 1900,36
2,1900,85,48614,Female 2000,73
2,1900,85,1932542,Female 1900,74
1,1900,90,15164,Male 2000,37
1,1900,90,321139,Male 1900,38
2,1900,90,20093,Female 2000,75
2,1900,90,1044488,Female 1900,76
