Era,Count
清,471364
明,43928
,609213
清乾隆二十六年,273
其它,7951
宋,16444
清乾隆,135777
南宋,301
唐,8850
元,5039
清嘉庆,44708
近现代,20026
近,8
民国,4566
清道光,61682
近代,894
清同治,28772
清光绪,132551
魏,434
清初,42
近拓,3
汉,21971
明末,6
清雍正,37144
明嘉靖,1731
金,1330
清拓,1
清嘉庆-,1
齐,14
清嘉庆已巳季夏,1
清乾隆三十年,7
明清,228
清乾隆三年,41
清乾隆四十三年,11
清康熙,79729
清顺治,240
清乾隆四十四年,43
清乾隆甲午三十九年,1
清乾隆四十一年,4
清乾隆二十二年,1
清乾隆四十五年,6
周,906
北宋,228
清嘉庆十五年,3
清嘉庆五年二月,17
清嘉庆十年,5
清嘉庆十二年,5
清嘉庆十四年,12
清嘉庆十六年,10
清嘉庆二十三年,5
清乾隆十一年,25
清乾隆十六年,4
清乾隆五十七年,9
清乾隆六十年,7
清嘉庆五年,3
清嘉庆十一年,1
清乾隆五十五年,4
清五十七年,1
清嘉庆十三年,4
民国拓,1
清嘉庆十八年,6
清嘉庆十七年,5
清道光十三年,2
清乾隆四十七年,3
清乾隆五十六年,3
清乾隆五十八年,8
清康熙二十八年,1
清嘉庆九年,2
清乾隆八年,43
清咸丰,1985
清乾隆十年,8
清五十三年,1
清乾隆五十九年,28
清乾隆六十三年,2
清乾隆五十年,3
清乾隆十五年,3
清乾隆十四年七月,2
清乾隆十七年正月,1
清乾隆十二年,29
清乾隆二十八年,10
清乾隆五十九开,2
清乾隆元年,20
清乾隆三十七年,9
清乾隆三十四年,19
清乾隆年间,3
清乾隆十六年闰五月,1
清乾隆三十九年,2
清乾隆三十六年,2
清乾隆四十六年,3
清光绪二十年,42
清嘉庆四年,20
清光绪二年,9
清同治十三年,13
清咸丰五年,17
清光绪二十一年,55
清同治十一年,36
清道光十四年,3
清道光八年,3
清同治十二年,6
清康熙四年,2
清康熙二十年,3
清光绪十五年,7
清康熙六年,1
清乾隆四十二年,9
清光绪元年,11
清乾隆十四年六月,3
清光绪二十八年四月,1
清乾隆四十六年闰五月,1
清乾隆十六年五月,2
清光绪十四年,10
清乾隆四十八年,2
清乾隆四十九年,1
清乾隆五十一年,1
清宣统,16449
清晚期,5180
清*,6058
宋拓,2
三国,38
元末,1
明初,13
南朝,274
清同治元年,27
清光绪四年三月,1
民国八年六月,2
民国五年七月,1
民国十年十一月,2
民国四年三月,1
民国四年四月,3
民国三年十二月,1
民国二十二年四月,1
民国六年二月,1
民国七年二月,1
民国六年五月,2
民国五年十二月,1
民国十八年九月,6
民国六年一月,1
民国九年七月,1
民国十二年八月,1
清乾隆九年,1
清中期,2563
清早期,361
明崇祯,158
清乾隆十四年,2
清乾隆十四年十月,3
明晚期,93
清顺治元年,13
清嘉庆二十五年,14
清宣统元年,20
明成化,221
清雍正元年,10
清道光十五年,3
清顺治十三年,18
清道光二十五年,4
清康熙元年,2
清咸丰元年,12
清嘉庆十八年九月二十八日,1
清嘉庆十九年,3
清嘉庆廿一年,1
清嘉庆二十二年,4
清道光三十年,13
清宣统五年,4
