Sex,Year,Age,People,dif
1,1900,0,4619544,5115836
1,2000,0,9735380,0
1,1900,5,4465783,6086363
1,2000,5,10552146,0
1,1900,10,4057669,6505564
1,2000,10,10563233,0
1,1900,15,3774846,6462573
1,2000,15,10237419,0
1,1900,20,3694038,6037277
1,2000,20,9731315,0
1,1900,25,3389280,6270213
1,2000,25,9659493,0
1,1900,30,2918964,7286915
1,2000,30,10205879,0
1,1900,35,2633883,8841299
1,2000,35,11475182,0
1,1900,40,2261070,9059182
1,2000,40,11320252,0
1,1900,45,1868413,8056593
1,2000,45,9925006,0
1,1900,50,1571038,6936896
1,2000,50,8507934,0
1,1900,55,1161908,5297174
1,2000,55,6459082,0
1,1900,60,916571,4206828
1,2000,60,5123399,0
1,1900,65,672663,3780960
1,2000,65,4453623,0
1,1900,70,454747,3337398
1,2000,70,3792145,0
1,1900,75,268211,2644444
1,2000,75,2912655,0
1,1900,80,127435,1775203
1,2000,80,1902638,0
1,1900,85,44008,926349
1,2000,85,970357,0
1,1900,90,15164,321139
1,2000,90,336303,0
2,1900,0,4589196,4721518
2,2000,0,9310714,0
2,1900,5,4390483,5679081
2,2000,5,10069564,0
2,1900,10,4001749,6020775
2,2000,10,10022524,0
2,1900,15,3801743,5890926
2,2000,15,9692669,0
2,1900,20,3751061,5573183
2,2000,20,9324244,0
2,1900,25,3236056,6282451
2,2000,25,9518507,0
2,1900,30,2665174,7454122
2,2000,30,10119296,0
2,1900,35,2347737,9287910
2,2000,35,11635647,0
2,1900,40,2004987,9483591
2,2000,40,11488578,0
2,1900,45,1648025,8613228
2,2000,45,10261253,0
2,1900,50,1411981,7499152
2,2000,50,8911133,0
2,1900,55,1064632,5856636
2,2000,55,6921268,0
2,1900,60,887508,4781453
2,2000,60,5668961,0
2,1900,65,640212,4164572
2,2000,65,4804784,0
2,1900,70,440007,4744848
2,2000,70,5184855,0
2,1900,75,265879,4089765
2,2000,75,4355644,0
2,1900,80,132449,3089449
2,2000,80,3221898,0
2,1900,85,48614,1932542
2,2000,85,1981156,0
2,1900,90,20093,1044488
2,2000,90,1064581,0
