Age,Dif,People,Difdif,Sex,Year,Num
0,Female 1900,4721518,101974,2,1900,40
0,Female 2000,4589196,-526640,2,1900,39
0,Male 1900,4619544,0,1,1900,1
0,Male 2000,5115836,0,1,1900,2
5,Female 1900,5679081,1213298,2,1900,42
5,Female 2000,4390483,-1695880,2,1900,41
5,Male 1900,4465783,0,1,1900,3
5,Male 2000,6086363,0,1,1900,4
10,Female 1900,6020775,1963106,2,1900,44
10,Female 2000,4001749,-2503815,2,1900,43
10,Male 1900,4057669,0,1,1900,5
10,Male 2000,6505564,0,1,1900,6
15,Female 1900,5890926,2116080,2,1900,46
15,Female 2000,3801743,-2660830,2,1900,45
15,Male 1900,3774846,0,1,1900,7
15,Male 2000,6462573,0,1,1900,8
20,Female 1900,5573183,1879145,2,1900,48
20,Female 2000,3751061,-2286216,2,1900,47
20,Male 1900,3694038,0,1,1900,9
20,Male 2000,6037277,0,1,1900,10
25,Female 1900,6282451,2893171,2,1900,50
25,Female 2000,3236056,-3034157,2,1900,49
25,Male 1900,3389280,0,1,1900,11
25,Male 2000,6270213,0,1,1900,12
30,Female 1900,7454122,4535158,2,1900,52
30,Female 2000,2665174,-4621741,2,1900,51
30,Male 1900,2918964,0,1,1900,13
30,Male 2000,7286915,0,1,1900,14
35,Female 1900,9287910,6654027,2,1900,54
35,Female 2000,2347737,-6493562,2,1900,53
35,Male 1900,2633883,0,1,1900,15
35,Male 2000,8841299,0,1,1900,16
40,Female 1900,9483591,7222521,2,1900,56
40,Female 2000,2004987,-7054195,2,1900,55
40,Male 1900,2261070,0,1,1900,17
40,Male 2000,9059182,0,1,1900,18
45,Female 1900,8613228,6744815,2,1900,58
45,Female 2000,1648025,-6408568,2,1900,57
45,Male 1900,1868413,0,1,1900,19
45,Male 2000,8056593,0,1,1900,20
50,Female 1900,7499152,5928114,2,1900,60
50,Female 2000,1411981,-5524915,2,1900,59
50,Male 1900,1571038,0,1,1900,21
50,Male 2000,6936896,0,1,1900,22
55,Female 1900,5856636,4694728,2,1900,62
55,Female 2000,1064632,-4232542,2,1900,61
55,Male 1900,1161908,0,1,1900,23
55,Male 2000,5297174,0,1,1900,24
60,Female 1900,4781453,3864882,2,1900,64
60,Female 2000,887508,-3319320,2,1900,63
60,Male 1900,916571,0,1,1900,25
60,Male 2000,4206828,0,1,1900,26
65,Female 1900,4164572,3491909,2,1900,66
65,Female 2000,640212,-3140748,2,1900,65
65,Male 1900,672663,0,1,1900,27
65,Male 2000,3780960,0,1,1900,28
70,Female 1900,4744848,4290101,2,1900,68
70,Female 2000,440007,-2897391,2,1900,67
70,Male 1900,454747,0,1,1900,29
70,Male 2000,3337398,0,1,1900,30
75,Female 1900,4089765,3821554,2,1900,70
75,Female 2000,265879,-2378565,2,1900,69
75,Male 1900,268211,0,1,1900,31
75,Male 2000,2644444,0,1,1900,32
80,Female 1900,3089449,2962014,2,1900,72
80,Female 2000,132449,-1642754,2,1900,71
80,Male 1900,127435,0,1,1900,33
80,Male 2000,1775203,0,1,1900,34
85,Female 1900,1932542,1888534,2,1900,74
85,Female 2000,48614,-877735,2,1900,73
85,Male 1900,44008,0,1,1900,35
85,Male 2000,926349,0,1,1900,36
90,Female 1900,1044488,1029324,2,1900,76
90,Female 2000,20093,-301046,2,1900,75
90,Male 1900,15164,0,1,1900,37
90,Male 2000,321139,0,1,1900,38
